Date,Open,High,Low,Close
02/10/2023,171.220001,174.300003,170.929993,173.75
03/10/2023,172.259995,173.630005,170.820007,172.399994
04/10/2023,171.089996,174.210007,170.970001,173.660004
05/10/2023,173.789993,175.449997,172.679993,174.910004
06/10/2023,173.800003,177.990005,173.179993,177.490005
09/10/2023,176.809998,179.050003,175.800003,178.990005
10/10/2023,178.100006,179.720001,177.949997,178.389999
11/10/2023,178.199997,179.850006,177.600006,179.800003
12/10/2023,180.070007,182.339996,179.039993,180.710007
13/10/2023,181.419998,181.929993,178.139999,178.850006
16/10/2023,176.75,179.080002,176.509995,178.720001
17/10/2023,176.649994,178.419998,174.800003,177.149994
18/10/2023,175.580002,177.580002,175.110001,175.839996
19/10/2023,176.039993,177.839996,175.190002,175.460007
20/10/2023,175.309998,175.419998,172.639999,172.880005
23/10/2023,170.910004,174.009995,169.929993,173
24/10/2023,173.050003,173.669998,171.449997,173.440002
25/10/2023,171.880005,173.059998,170.649994,171.100006
26/10/2023,170.369995,171.380005,165.669998,166.889999
27/10/2023,166.910004,168.960007,166.830002,168.220001
30/10/2023,169.020004,171.169998,168.869995,170.289993
31/10/2023,169.350006,170.899994,167.899994,170.770004
01/11/2023,171,174.229996,170.119995,173.970001
02/11/2023,175.520004,177.779999,175.460007,177.570007
03/11/2023,174.240005,176.820007,173.350006,176.649994
06/11/2023,176.380005,179.429993,176.210007,179.229996
07/11/2023,179.179993,182.440002,178.970001,181.820007
08/11/2023,182.350006,183.449997,181.589996,182.889999
09/11/2023,182.960007,184.119995,181.809998,182.410004
10/11/2023,183.970001,186.570007,183.529999,186.399994
13/11/2023,185.820007,186.029999,184.210007,184.800003
14/11/2023,187.699997,188.110001,186.300003,187.440002
15/11/2023,187.850006,189.5,187.779999,188.009995
16/11/2023,189.570007,190.960007,188.649994,189.710007
17/11/2023,190.25,190.380005,188.570007,189.690002
20/11/2023,189.889999,191.910004,189.880005,191.449997
21/11/2023,191.410004,191.520004,189.740005,190.639999
22/11/2023,191.490005,192.929993,190.830002,191.309998
24/11/2023,190.869995,190.899994,189.25,189.970001
27/11/2023,189.919998,190.669998,188.899994,189.789993
28/11/2023,189.779999,191.080002,189.399994,190.399994
29/11/2023,190.899994,192.089996,188.970001,189.369995
30/11/2023,189.839996,190.320007,188.190002,189.949997
01/12/2023,190.330002,191.559998,189.229996,191.240005
04/12/2023,189.979996,190.050003,187.449997,189.429993
05/12/2023,190.210007,194.399994,190.179993,193.419998
06/12/2023,194.449997,194.759995,192.110001,192.320007
07/12/2023,193.630005,195,193.589996,194.270004
