Date,Open,High,Low,Close
31/01/2023,243.449997,247.949997,242.949997,247.809998
01/02/2023,248,255.179993,245.470001,252.75
02/02/2023,258.820007,264.690002,257.25,264.600006
03/02/2023,259.540009,264.200012,257.100006,258.350006
06/02/2023,257.440002,258.299988,254.779999,256.769989
07/02/2023,260.529999,268.769989,260.079987,267.559998
08/02/2023,273.200012,276.76001,266.209991,266.730011
09/02/2023,273.799988,273.980011,262.799988,263.619995
10/02/2023,261.529999,264.089996,260.660004,263.100006
13/02/2023,267.640015,274.600006,267.149994,271.320007
14/02/2023,272.670013,274.970001,269.279999,272.170013
15/02/2023,268.320007,270.730011,266.179993,269.320007
16/02/2023,264.019989,266.73999,261.899994,262.149994
17/02/2023,259.390015,260.089996,256,258.059998
21/02/2023,254.479996,255.490005,251.589996,252.669998
22/02/2023,254.089996,254.339996,250.339996,251.509995
23/02/2023,255.559998,256.839996,250.479996,254.770004
24/02/2023,249.960007,251,248.100006,249.220001
27/02/2023,252.460007,252.820007,249.389999,250.160004
28/02/2023,249.070007,251.490005,248.729996,249.419998
01/03/2023,250.759995,250.929993,245.789993,246.270004
02/03/2023,246.550003,251.399994,245.610001,251.110001
03/03/2023,252.190002,255.619995,251.389999,255.289993
06/03/2023,256.429993,260.119995,255.979996,256.869995
07/03/2023,256.299988,257.690002,253.389999,254.149994
08/03/2023,254.039993,254.539993,250.809998,253.699997
09/03/2023,255.820007,259.559998,251.580002,252.320007
10/03/2023,251.080002,252.789993,247.600006,248.589996
13/03/2023,247.399994,257.910004,245.729996,253.919998
14/03/2023,256.75,261.070007,255.860001,260.790009
15/03/2023,259.980011,266.480011,259.209991,265.440002
16/03/2023,265.209991,276.559998,263.279999,276.200012
17/03/2023,278.26001,283.329987,276.320007,279.429993
20/03/2023,276.980011,277.480011,269.850006,272.230011
21/03/2023,274.880005,275,269.519989,273.779999
22/03/2023,273.399994,281.040009,272.179993,272.290009
23/03/2023,277.940002,281.059998,275.200012,277.660004
24/03/2023,277.23999,280.630005,275.279999,280.570007
27/03/2023,280.5,281.459991,275.519989,276.380005
28/03/2023,275.790009,276.140015,272.049988,275.230011
29/03/2023,278.959991,281.140015,278.410004,280.51001
30/03/2023,284.230011,284.459991,281.480011,284.049988
31/03/2023,283.730011,289.269989,283,288.299988
03/04/2023,286.519989,288.269989,283.950012,287.230011
04/04/2023,287.230011,290.450012,285.670013,287.179993
05/04/2023,285.850006,287.149994,282.920013,284.339996
06/04/2023,283.209991,292.079987,282.029999,291.600006
10/04/2023,289.209991,289.600006,284.709991,289.390015
11/04/2023,285.75,285.980011,281.640015,282.829987
12/04/2023,284.790009,287.01001,281.959991,283.48999
13/04/2023,283.589996,289.899994,283.170013,289.839996
14/04/2023,287,288.480011,283.690002,286.140015
17/04/2023,289.929993,291.600006,286.160004,288.799988
18/04/2023,291.570007,291.76001,287.01001,288.369995
19/04/2023,285.98999,289.049988,284.540009,288.450012
20/04/2023,285.25,289.029999,285.079987,286.109985
21/04/2023,285.01001,286.269989,283.059998,285.76001
24/04/2023,282.089996,284.950012,278.720001,281.769989
25/04/2023,279.51001,281.600006,275.369995,275.420013
26/04/2023,296.700012,299.570007,292.730011,295.369995
27/04/2023,295.970001,305.200012,295.25,304.829987
28/04/2023,304.01001,308.929993,303.309998,307.26001
01/05/2023,306.970001,308.600006,305.149994,305.559998
02/05/2023,307.76001,309.179993,303.910004,305.410004
03/05/2023,306.619995,308.609985,304.089996,304.399994
04/05/2023,306.23999,307.76001,303.399994,305.410004
05/05/2023,305.720001,311.970001,304.269989,310.649994
08/05/2023,310.130005,310.200012,306.089996,308.649994
09/05/2023,308,310.040009,306.309998,307
10/05/2023,308.619995,313,307.670013,312.309998
11/05/2023,310.100006,311.119995,306.26001,310.109985
12/05/2023,310.549988,310.649994,306.600006,308.970001
15/05/2023,309.100006,309.899994,307.589996,309.459991
16/05/2023,309.829987,313.709991,309.829987,311.73999
17/05/2023,312.290009,314.429993,310.73999,314
18/05/2023,314.529999,319.040009,313.720001,318.519989
19/05/2023,316.73999,318.75,316.369995,318.339996
22/05/2023,318.600006,322.589996,318.01001,321.179993
23/05/2023,320.029999,322.720001,315.25,315.26001
24/05/2023,314.730011,316.5,312.609985,313.850006
25/05/2023,323.23999,326.899994,320,325.920013
26/05/2023,324.019989,333.399994,323.880005,332.890015
30/05/2023,335.230011,335.73999,330.519989,331.209991
31/05/2023,332.290009,335.940002,327.329987,328.390015
01/06/2023,325.929993,333.529999,324.720001,332.579987
02/06/2023,334.25,337.5,332.549988,335.399994
05/06/2023,335.220001,338.559998,334.660004,335.940002
06/06/2023,335.329987,335.369995,332.170013,333.679993
