Date,Open,High,Low,Close
31/01/2023,107.580002,108.720001,107.449997,108.489998
01/02/2023,108.5,109.940002,106.900002,109.389999
02/02/2023,110.669998,113.529999,109.690002,113.209999
03/02/2023,111.470001,113.139999,110.370003,110.709999
06/02/2023,110.169998,110.43,108.529999,109.870003
07/02/2023,109.300003,112.120003,108.860001,111.629997
08/02/2023,112.199997,113.330002,110.290001,111.779999
09/02/2023,118.040001,118.18,109.809998,110.360001
10/02/2023,108.959999,109.739998,107.209999,108.059998
13/02/2023,108.099998,108.290001,106.550003,107.660004
14/02/2023,106.82,108.440002,105.82,107.660004
15/02/2023,107.089996,109.269997,106.699997,109.239998
16/02/2023,107.550003,108.019997,105.699997,105.830002
17/02/2023,105.029999,105.800003,103.879997,105.220001
21/02/2023,103.550003,103.730003,101.830002,102.089996
22/02/2023,101.330002,102.559998,101.089996,101.68
23/02/2023,101.449997,102.050003,99.610001,101.730003
24/02/2023,99.529999,100.43,98.959999,100.300003
27/02/2023,100.730003,101.470001,100.059998,100.449997
28/02/2023,100.449997,100.75,99.57,99.610001
01/03/2023,99.190002,99.629997,98.099998,98.540001
02/03/2023,97.739998,99.290001,97.419998,98.919998
03/03/2023,99.669998,101.18,98.879997,101.139999
06/03/2023,101.610001,102.699997,100.489998,100.660004
07/03/2023,100.400002,100.940002,98.889999,99.059998
08/03/2023,99,99.620003,98.300003,99.300003
09/03/2023,99.449997,100.050003,95.919998,96.139999
10/03/2023,95.599998,95.900002,92.830002,93.57
13/03/2023,91.889999,94.019997,90.459999,92.599998
14/03/2023,94,94.300003,92.339996,93.360001
15/03/2023,91.629997,93.360001,91.410004,93.099998
16/03/2023,92.669998,94.559998,91.889999,94.290001
17/03/2023,94.050003,94.269997,92.910004,93.199997
20/03/2023,93.43,94.919998,93,94.220001
21/03/2023,95.169998,96.849998,95.169998,96.540001
22/03/2023,97.449997,97.93,94.82,94.900002
23/03/2023,95.279999,97.019997,94.760002,95.830002
24/03/2023,94.809998,95,93.019997,94.080002
27/03/2023,94.779999,96.019997,94.379997,95.620003
28/03/2023,95.510002,96,94.589996,94.82
29/03/2023,96.080002,96.910004,95.349998,96.870003
30/03/2023,98.730003,98.919998,97.669998,98.099998
31/03/2023,98.889999,100.199997,98.5,100.129997
03/04/2023,100.209999,100.43,99.269997,99.760002
04/04/2023,100.300003,100.419998,98.760002,99.57
05/04/2023,99.699997,100.18,98.629997,99.910004
06/04/2023,99.440002,100.32,98.550003,99.970001
10/04/2023,99.300003,100.809998,98.900002,100.809998
11/04/2023,101.160004,101.910004,100.290001,100.419998
12/04/2023,101.25,102.220001,97.699997,97.940002
13/04/2023,98.510002,101.07,98.510002,100.839996
14/04/2023,100.5,100.860001,98.93,99.900002
17/04/2023,99.57,100.57,99.150002,100.300003
18/04/2023,100.610001,101.150002,99.599998,100.93
19/04/2023,99.779999,99.830002,98.360001,98.75
20/04/2023,97.75,98.580002,97.389999,98.07
21/04/2023,98.160004,99.720001,97.720001,99.57
24/04/2023,100.150002,100.739998,98.669998,99.68
25/04/2023,99.379997,99.709999,98.010002,98.010002
26/04/2023,97.839996,98.480003,96.459999,96.610001
27/04/2023,97.129997,100.07,96.709999,99.93
28/04/2023,99.370003,102.559998,99.080002,102.5
01/05/2023,102.410004,102.610001,101.610001,102.209999
02/05/2023,101.330002,101.699997,99.620003,100.599998
03/05/2023,101.059998,102.580002,100.639999,100.860001
04/05/2023,99.540001,99.540001,96.610001,97.449997
05/05/2023,98.589996,100.849998,98.110001,100.519997
08/05/2023,101.699997,103.910004,101.690002,102.970001
09/05/2023,102.910004,102.980003,102.089996,102.18
10/05/2023,103,103.25,100.040001,101.139999
11/05/2023,94.800003,95.110001,91.879997,92.309998
12/05/2023,92.339996,92.879997,91.239998,91.989998
15/05/2023,91.540001,92.870003,90.699997,92.860001
16/05/2023,92.040001,92.419998,90.779999,90.980003
17/05/2023,91.019997,93.050003,90.849998,92.769997
18/05/2023,92.849998,94.239998,92.459999,93.760002
19/05/2023,93,93,91.32,91.349998
22/05/2023,91.330002,91.940002,89.889999,91.82
23/05/2023,91.099998,92.029999,89.809998,89.82
24/05/2023,89.440002,89.489998,88.410004,89.07
25/05/2023,89.559998,89.559998,87.790001,88.139999
26/05/2023,88.489998,89.239998,88.099998,88.290001
30/05/2023,88.970001,88.970001,87.010002,87.82
31/05/2023,87.580002,88.169998,87.150002,87.959999
01/06/2023,88.400002,89.059998,87.110001,88.589996
02/06/2023,89.629997,91.339996,89.599998,90.769997
05/06/2023,91.199997,91.760002,89.440002,91
06/06/2023,91.099998,92.510002,91.019997,92.160004
07/06/2023,92.779999,93.080002,91.860001,92.519997
08/06/2023,92.519997,92.68,91.300003,92.529999
09/06/2023,92.779999,92.919998,91.550003,91.93
12/06/2023,92.25,93.230003,91.769997,93.139999
13/06/2023,94.120003,94.440002,93.440002,93.849998
14/06/2023,94.260002,94.519997,91.919998,92.449997
15/06/2023,92.059998,93.519997,91.610001,92.940002
16/06/2023,92.879997,92.970001,90.860001,91.32
20/06/2023,90.290001,90.779999,89.739998,89.75
21/06/2023,89.550003,89.669998,88.110001,88.639999
22/06/2023,88.440002,89.190002,88.120003,88.489998
23/06/2023,88.019997,88.400002,87.610001,88.099998
